closed,sell,12436
closed,buy,10973
sell,lots,7631
buy,lots,7281
sell,eurusd,4760
bought,lots,4375
buy,eurusd,3421
bought,eurusd,2397
sold,lots,2360
long,short,986
eurusd,short,487
short,wcx,445
short,eur,413
eurusd,buy,400
short,eurusd,360
eurusd,long,354
sell,stop,352
buy,stop,336
eurusd,sell,318
bought,iwr19eurusd,260
long,eurusd,256
buy,limit,219
short,https,195
sold,eurusd,186
sell,https,179
sell,limit,177
short,long,171
eurusd,bullish,162
eurusd,bearish,158
support,https,150
buy,https,141
resistance,https,134
support,level,122
long,https,122
long,click,121
resistance,level,114
net,long,109
daily,sell,106
daily,buy,86
key,support,86
ticket,sell,80
range,support,72
opened,short,71
buy,opus09,64
long,position,63
prior,support,63
key,resistance,61
sell,opus09,61
prior,resistance,59
opened,sell,58
